	set1_id	set1_country	set1_city	set1_orgvisibility	set2_id	set2_country	set2_city	set2_orgvisibility	set1_orgname_with_city	set2_orgname_with_city	similarity
0	60311368	Germany	Leipzig	true	60308992	Germany	Leipzig	true	AMP Therapeutics GmbH, Leipzig	AMP-Therapeutics GmbH, Leipzig	1.0
1	60308992	Germany	Leipzig	true	60311368	Germany	Leipzig	true	AMP-Therapeutics GmbH, Leipzig	AMP Therapeutics GmbH, Leipzig	1.0
2	60076426	India	Pune	true	60288449	India	Pune	false	College of Engineering, Pune	College of Engineering, Pune, Pune	1.0
3	60197143	Qatar	Doha	true	60310371	Qatar	Doha	true	College of Law, Doha	College of Law, Doha	1.0
4	60288614	France	Palaiseau	true	60019904	France	Palaiseau	true	École Nationale Supérieure de Techniques Avancées, Palaiseau	École Nationale Supérieure de Techniques Avancées, Palaiseau	1.0
5	60310371	Qatar	Doha	true	60197143	Qatar	Doha	true	College of Law, Doha	College of Law, Doha	1.0
6	60288449	India	Pune	false	60076426	India	Pune	true	College of Engineering, Pune, Pune	College of Engineering, Pune	1.0
7	60274958	Egypt	Cairo	true	60274403	Egypt	Cairo	true	College of Commerce, Cairo	College of Commerce, Cairo	1.0
8	60276437	Egypt	Cairo	true	60274995	Egypt	Cairo	true	College of Media, Cairo	College of Media, Cairo	1.0
9	60274982	Egypt	Cairo	true	60217037	Egypt	Cairo	true	College of Education, Cairo	College of Education, Cairo	1.0
10	60274403	Egypt	Cairo	true	60274958	Egypt	Cairo	true	College of Commerce, Cairo	College of Commerce, Cairo	1.0
11	60274995	Egypt	Cairo	true	60276437	Egypt	Cairo	true	College of Media, Cairo	College of Media, Cairo	1.0
12	60275990	Egypt	Cairo	true	60217117	Egypt	Cairo	true	College of Nursing, Cairo	College of Nursing, Cairo	1.0
13	60139515	United States	Boston	true	60141202	United States	Boston	true	College of Engineering, Boston	College of Engineering, Boston	1.0
14	60141202	United States	Boston	true	60139515	United States	Boston	true	College of Engineering, Boston	College of Engineering, Boston	1.0
15	60029533	Saudi Arabia	Riyadh	true	60218948	Saudi Arabia	Riyadh	true	College of Medicine, Riyadh	College of Medicine-Riyadh, Riyadh	1.0
16	60029533	Saudi Arabia	Riyadh	true	60231076	Saudi Arabia	Riyadh	true	College of Medicine, Riyadh	College of Medicine, Riyadh	1.0
17	60019904	France	Palaiseau	true	60288614	France	Palaiseau	true	École Nationale Supérieure de Techniques Avancées, Palaiseau	École Nationale Supérieure de Techniques Avancées, Palaiseau	1.0
18	60212089	Taiwan	Taipei	true	60211443	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
19	60212089	Taiwan	Taipei	true	60211610	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
20	60212089	Taiwan	Taipei	true	60238182	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
21	60217037	Egypt	Cairo	true	60274982	Egypt	Cairo	true	College of Education, Cairo	College of Education, Cairo	1.0
22	60218948	Saudi Arabia	Riyadh	true	60029533	Saudi Arabia	Riyadh	true	College of Medicine-Riyadh, Riyadh	College of Medicine, Riyadh	1.0
23	60218948	Saudi Arabia	Riyadh	true	60231076	Saudi Arabia	Riyadh	true	College of Medicine-Riyadh, Riyadh	College of Medicine, Riyadh	1.0
24	60211443	Taiwan	Taipei	true	60212089	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
25	60211443	Taiwan	Taipei	true	60211610	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
26	60211443	Taiwan	Taipei	true	60238182	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
27	60211610	Taiwan	Taipei	true	60212089	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
28	60211610	Taiwan	Taipei	true	60211443	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
29	60211610	Taiwan	Taipei	true	60238182	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
30	60238182	Taiwan	Taipei	true	60212089	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
31	60238182	Taiwan	Taipei	true	60211443	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
32	60238182	Taiwan	Taipei	true	60211610	Taiwan	Taipei	true	College of Management, Taipei	College of Management, Taipei	1.0
33	60231076	Saudi Arabia	Riyadh	true	60029533	Saudi Arabia	Riyadh	true	College of Medicine, Riyadh	College of Medicine, Riyadh	1.0
34	60231076	Saudi Arabia	Riyadh	true	60218948	Saudi Arabia	Riyadh	true	College of Medicine, Riyadh	College of Medicine-Riyadh, Riyadh	1.0
