set1_id	set1_orgname	set2_id	set2_orgname	similarity	id_match
60139515	College of Engineering, Boston	60141202	College of Engineering, Boston	1.0	False
60141202	College of Engineering, Boston	60139515	College of Engineering, Boston	1.0	False
60138445	Indiana University, Bloomington	60021121	Indiana University Bloomington, Bloomington	1.0	False
60150620	Oden Institute for Computational Engineering & Sciences, Austin	60288452	Oden Institute for Computational Engineering and Sciences, Austin	1.0	False
60134947	Institute of Fine Chemicals, Shanghai	60073625	Institute of Fine Chemicals, Shanghai	1.0	False
60138287	Lanzhou Institute of Biological Products Co., Ltd, Lanzhou	60298098	Lanzhou Institute of Biological Products Co., Ltd., Lanzhou	1.0	False
60138276	University of Clermont Auvergne, Clermont-Ferrand	60004135	University of Auvergne, Clermont-Ferrand	1.0	False
60136555	Providence VA Medical Center, Providence	60021025	Providence VA Medical Center, Providence	1.0	False
60150236	Terry College of Business, Athens	60134793	Terry College of Business, Athens	1.0	False
60134793	Terry College of Business, Athens	60150236	Terry College of Business, Athens	1.0	False
60157982	The University of Agriculture, Peshawar, Peshawar	60064800	The University of Agriculture, Peshawar, Peshawar	1.0	False
60138508	Novavax, Inc., Gaithersburg	60322604	Novavax Inc, Gaithersburg	1.0	False
60135792	School of Medicine, Xiamen	60122377	School of Medicine, Xiamen	1.0	False
60136673	Center for the Neural Basis of Cognition, Pittsburgh	60159101	Center for the Neural Basis of Cognition, Pittsburgh	1.0	False
60159101	Center for the Neural Basis of Cognition, Pittsburgh	60136673	Center for the Neural Basis of Cognition, Pittsburgh	1.0	False
60138011	Department of Medicine, Chicago	60027147	Department of Medicine, Chicago	1.0	False
60138011	Department of Medicine, Chicago	60021484	Department of Medicine, Chicago	1.0	False
60147441	Department of Surgery, Chicago	60009281	Department of Surgery, Chicago	1.0	False
60147441	Department of Surgery, Chicago	60032488	Department of Surgery, Chicago	1.0	False
60197143	College of Law, Doha	60310371	College of Law, Doha	1.0	False
60202203	Faculty of Medicine, Beni Suef	60276313	Faculty of Medicine, Beni Suef	1.0	False
60199560	Faculty of Medicine, Beirut	60199550	Faculty of Medicine, Beirut	1.0	False
60199550	Faculty of Medicine, Beirut	60199560	Faculty of Medicine, Beirut	1.0	False
60199406	Facultad de Medicina, Bogota	60054312	Facultad de Medicina, Bogota	1.0	False
60199406	Faculty of Medicine, Bogota	60054312	Faculty of Medicine, Bogota	1.0	False
60189588	The Canberra Business School, Canberra	60189937	The School of Business, Canberra	1.0	False
60189937	The School of Business, Canberra	60189588	The Canberra Business School, Canberra	1.0	False
60206606	School of Allied Medical Sciences, Tehran	60171619	School of Allied Medical Sciences, Tehran	1.0	False
60206586	School of Advanced Technologies in Medicine, Tehran	60171613	School of Advanced Technologies in Medicine, Tehran	1.0	False
60199291	School of Social Sciences, Reykjavik	60199293	School of Social Sciences, Reykjavik	1.0	False
60206605	School of Public Health, Tehran	60171626	School of Public Health, Tehran	1.0	False
60206596	School of Nursing & Midwifery, Tehran	60171627	School of Nursing and Midwifery, Tehran	1.0	False
60206596	School of Nursing & Midwifery, Tehran	60171627	School of Nursing Midwifery, Tehran	1.0	False
60199293	School of Social Sciences, Reykjavik	60199291	School of Social Sciences, Reykjavik	1.0	False
60199589	School of Chinese Medicine, Hong Kong	60183196	School of Chinese Medicine, Hong Kong	1.0	False
60210993	Centre d'Etudes Spatiales de la Biosphère, Toulouse	60024767	Centre d'Etudes Spatiales de la Biosphère, Toulouse	1.0	False
60014636	Kyowa Hakko Kirin Co., Ltd, Tokyo	60310505	Kyowa Hakko Kirin Co Ltd, Tokyo	1.0	False
60010471	National Institute of Agrobiological Resources, Tsukuba	60031513	National Institute of Agrobiological Resources, Tsukuba	1.0	False
60007843	Sandia National Laboratories, Albuquerque	60014682	Sandia National Laboratories, Albuquerque	1.0	False
60014682	Sandia National Laboratories, Albuquerque	60007843	Sandia National Laboratories, Albuquerque	1.0	False
60003277	Malaspina University College, Nanaimo	60101614	Malaspina University-College, Nanaimo	1.0	False
60002354	Faculty of Medicine, Tokyo	60172622	Faculty of Medicine, Tokyo	1.0	False
60008708	Faculty of Engineering, Alexandria	60273121	Faculty of Engineering, Alexandria	1.0	False
60009418	Facultad de Medicina, Santiago	60212030	Facultad de Medicina, Santiago	1.0	False
60002575	Faculty of Engineering, Cairo	60216991	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60273705	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60274955	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60274264	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60273331	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60273602	Faculty of Engineering, Cairo	1.0	False
60002575	Faculty of Engineering, Cairo	60278283	Faculty of Engineering, Cairo	1.0	False
60012469	Saint Xavier University, Chicago	60015579	Saint Xavier University Chicago, Chicago	1.0	False
60015323	Faculty of Medicine, Cairo	60024697	Faculty of Medicine, Cairo	1.0	False
60015323	Faculty of Medicine, Cairo	60020436	Faculty of Medicine, Cairo	1.0	False
60015323	Faculty of Medicine, Cairo	60274270	Faculty of Medicine, Cairo	1.0	False
60007226	Faculty of Medicine, Mansoura	60273567	Faculty of Medicine, Mansoura	1.0	False
60004782	Faculty of Pharmacy, Cairo	60216981	Faculty of Pharmacy, Cairo	1.0	False
60004782	Faculty of Pharmacy, Cairo	60274265	Faculty of Pharmacy, Cairo	1.0	False
60004782	Faculty of Pharmacy, Cairo	60273371	Faculty of Pharmacy, Cairo	1.0	False
60004782	Faculty of Pharmacy, Cairo	60273712	Faculty of Pharmacy, Cairo	1.0	False
60004782	Faculty of Pharmacy, Cairo	60273709	Faculty of Pharmacy, Cairo	1.0	False
60015579	Saint Xavier University Chicago, Chicago	60012469	Saint Xavier University, Chicago	1.0	False
60013786	Infectious Diseases and Tropical Medicine Research Center Joundishapour, Tehran	60018219	Infectious Diseases and Tropical Medicine Research Center Joundishapour, Tehran	1.0	False
60009535	Roosevelt University, Chicago	60029867	Roosevelt University Chicago, Chicago	1.0	False
60008581	Abgenix, Inc., Fremont	60297862	Abgenix Inc, Fremont	1.0	False
60009742	Medical Center Hospital of Vermont, Burlington	60000856	Medical Center Hospital of Vermont, Burlington	1.0	False
60010328	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Escola de Medicina, Santa Luiza	60004200	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Santa Luiza	0.9534625892455924	False
60000856	Medical Center Hospital of Vermont, Burlington	60009742	Medical Center Hospital of Vermont, Burlington	1.0	False
60004200	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Santa Luiza	60010328	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Escola de Medicina, Santa Luiza	0.9534625892455924	False
60003064	Institute for Drug Development San Antonio, San Antonio	60019347	Institute for Drug Development, San Antonio	1.0	False
60013823	Hospital Materno Infantil, Madrid	60016890	Hospital Materno-Infantil, Madrid	1.0	False
60013823	Maternal and child Hospital, Madrid	60016890	Maternal and child Hospital, Madrid	1.0	False
60006853	Cerner Corporation, North Kansas City	60294515	Cerner Corporation,, North Kansas City	1.0	False
60014198	AgResearch Lincoln, Lincoln	60015346	AgResearch, Lincoln	1.0	False
60015346	AgResearch, Lincoln	60014198	AgResearch Lincoln, Lincoln	1.0	False
60011920	Cellomics, Inc., Pittsburgh	60295418	Cellomics Inc., Pittsburgh	1.0	False
60009742	University of Vermont Medical Center, Burlington	60000856	University of Vermont Medical Center, Burlington	1.0	False
60007572	Universidad de Los Lagos, Osorno	60029954	Universidad de Los Lagos, Osorno, Osorno	1.0	False
60007885	University of Nevada Cooperative Extension, Reno	60032588	University Nevada Cooperative Extension Reno, Reno	1.0	False
60012683	Universidad del Bio Bio, Concepcion, Concepcion	60023195	Universidad del Bio Bio, Concepcion	1.0	False
60006873	University of Nevada, Reno School of Medicine, Reno	60280026	University of Nevada School of Medicine, Reno	1.0	False
60009695	Graduate School of Engineering Science, 	60028150	Graduate School of Science and Engineering, 	1.0	False
60000856	University of Vermont Medical Center, Burlington	60009742	University of Vermont Medical Center, Burlington	1.0	False
60004135	University of Auvergne, Clermont-Ferrand	60138276	University of Clermont Auvergne, Clermont-Ferrand	1.0	False
60012464	Universidad de Chile, Santiago	60023383	Universidad de Santiago de Chile, Santiago	1.0	False
60012464	University of Chile, Santiago	60023383	University of Santiago, Chile, Santiago	1.0	False
60004715	ESRI, Redlands	60297983	Esri, Redlands	1.0	False
60001499	Hochschule für Künste Bremen, Bremen	60111807	Hochschule für Künste, Bremen	1.0	False
60001588	NSW Health, North Sydney	60082306	NSW Health, North Sydney	1.0	False
60010765	Franklin Pierce College Rindge, Rindge	60030997	Franklin Pierce College, Rindge	1.0	False
60003678	Desert Research Institute Reno, Reno	60023439	Desert Research Institute, Reno	1.0	False
60015662	Leningrad State Pedagogical Institute, Saint Petersburg (ex Leningrad)	60115293	Leningrad State Pedagogical Institute, Saint Petersburg (ex Leningrad)	1.0	False
60006625	Lincoln University, Lincoln	60170158	Lincoln University, Lincoln	1.0	False
60012675	Linfield College, McMinnville	60027633	Linfield College McMinnville, McMinnville	1.0	False
60005619	Lincoln College, Lincoln	60170158	Lincoln College, Lincoln	1.0	False
60002637	Kharkiv Pharmaceutical Institute, Kharkiv	60073873	Kharkiv Pharmaceutical Institute, Kharkiv	1.0	False
60007790	School of Medicine, Tehran	60025392	School of Medicine, Tehran	1.0	False
60003272	Centre de Recerca Matemática, Bellaterra	60116924	Centre de Recerca Matemàtica, Bellaterra	1.0	False
60008688	Department of Materials Engineering, 	60022516	Department of Engineering Materials, 	1.0	False
60014772	Department of Statistics, Columbia	60031665	Department of Statistics, Columbia	1.0	False
60013862	Department of Pharmacology, Chicago	60023344	Department of Pharmacology, Chicago	1.0	False
